game Number,game heading,discussion,link to game
game1,"Bobby Fischer vs. Boris Spassky (1972 World Championship)","This game was a pivotal moment in the 1972 World Championship match. Fischer’s extraordinary resilience and calm under pressure led him to a dramatic victory. The game was crucial in bringing Fischer back into the match after a difficult start.",https://www.chessgames.com/perl/chessgame?gid=1044366
game2,"Bobby Fischer vs. Mikhail Tal (Candidates 1959 Round 27)","Fischer’s win against Tal in this game was notable for his ability to outplay one of the most aggressive and brilliant tacticians in chess history. Tal’s creative sacrifices were not enough to overcome Fischer’s precision and strategic brilliance.",https://www.chessgames.com/perl/chessgame?gid=1044001
game3,"Mikhail Tal vs. Vasily Smyslov (World Championship 1959)","This game highlighted the contrast between Tal’s sharp attacking style and Smyslov’s solid, defensive play. Despite Tal’s aggressive moves, Smyslov’s solid defense eventually led him to victory.",https://www.chessgames.com/perl/chessgame?gid=1139475
game4,"Mikhail Tal vs. Bobby Fischer (Candidates 1959 Round 20)","Fischer faced off against Tal in this famous Candidates match. The game showcased Tal’s daring attacking flair, though Fischer held his own with his defensive skills and tactical awareness.",https://www.chessgames.com/perl/chessgame?gid=1044505
game5,"Garry Kasparov vs. Anatoly Karpov (1985 World Championship)","This intense and historic game is one of the most famous in the Kasparov-Karpov rivalry. Kasparov’s brilliant counterattack against Karpov’s opening strategy led him to win this critical game, securing his title as World Champion.",https://www.chessgames.com/perl/chessgame?gid=1067175
game6,"Garry Kasparov vs. Vladimir Kramnik (1995 World Championship)","The game was notable for Kasparov's opening preparation and strategic decision making. Kramnik struggled against Kasparov's deep analysis.",https://www.chessgames.com/perl/chessgame?gid=1070835
game7,"Anatoly Karpov vs. Viktor Korchnoi (1978 World Championship)","Karpov's methodical pressure and Korchnoi's resilience in this game made it one of the most intense in the series.",https://www.chessgames.com/perl/chessgame?gid=1068072
game8,"Anatoly Karpov vs. Garry Kasparov (1984 World Championship)","This game was highly strategic and set the tone for the bitter rivalry that would span over years.",https://www.chessgames.com/perl/chessgame?gid=1067128
game9,"Garry Kasparov vs. Nigel Short (1993 World Championship)","A dramatic game that saw Kasparov display his tactical brilliance to secure a crucial win.",https://www.chessgames.com/perl/chessgame?gid=1070677
game10,"Bobby Fischer vs. Tigran Petrosian (1962 Candidates Tournament)","The game showcased Fischer's fighting spirit, where he was able to dominate Petrosian in the middle game.",https://www.chessgames.com/perl/chessgame?gid=1044167
game11,"Magnus Carlsen vs. Sergey Karjakin (2016 World Championship)","A game that showcased Carlsen's endgame proficiency as he outmaneuvered Karjakin in a complex position.",https://www.chessgames.com/perl/chessgame?gid=1848592
game12,"Hikaru Nakamura vs. Levon Aronian (Zurich Chess Challenge 2015)","Nakamura's aggressive play against Aronian's solid defense resulted in a highly entertaining encounter.",https://www.chessgames.com/perl/chessgame?gid=1784784
game13,"Garry Kasparov vs. Veselin Topalov (Wijk aan Zee 1999)","Kasparov's tactical brilliance and exceptional endgame skills were on full display in this game.",https://www.chessgames.com/perl/chessgame?gid=1011478
game14,"Magnus Carlsen vs. Ian Nepomniachtchi (2021 World Championship)","Carlsen's calm and composed endgame play was key in securing a pivotal victory over Nepomniachtchi.",https://www.chessgames.com/perl/chessgame?gid=2030296
game15,"Viswanathan Anand vs. Levon Aronian (Tata Steel 2013)","Anand's precise and aggressive play during the middlegame helped him overcome Aronian's solid defense.",https://www.chessgames.com/perl/chessgame?gid=1704763
game16,"Ding Liren vs. Ian Nepomniachtchi (2023 World Championship)","A hard-fought game that ended in a draw, with both players showing remarkable resilience.",https://www.chessgames.com/perl/chessgame?gid=2473637
game17,"Alireza Firouzja vs. Magnus Carlsen (Grand Swiss 2019)","Firouzja's rise to prominence was marked by his win against Carlsen in this exciting game.",https://www.chessgames.com/perl/chessgame?gid=1988510
game18,"Fabiano Caruana vs. Leinier Domínguez (Candidates 2022)","A highly competitive game where Caruana managed to gain the upper hand through precise middle-game tactics.",https://www.chessgames.com/perl/chessgame?gid=2363569
game19,"Wesley So vs. Magnus Carlsen (2020 Champions Chess Tour)","So's impressive play in the final segment of the game secured him a thrilling victory over Carlsen.",https://www.chessgames.com/perl/chessgame?gid=2014559
game20,"Gukesh D vs. Ding Liren (Singapore Chess Masters)","A display of youthful exuberance from Gukesh as he took on the seasoned Ding Liren in a fierce battle.",https://www.chessgames.com/perl/chessgame?gid=2811859
